scheme_code,scheme_name,isin,gf_nav,gf_nav_date
132850,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,INF179KA1D74,13.1579,31-Jan-2018
119079,HDFC Regular Savings Fund -Direct Plan - Growth Option,INF179K01YP0,34.7793,31-Jan-2018
119078,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,INF179K01YN5,10.3360,31-Jan-2018
101430,HDFC Regular Savings Fund-GROWTH,INF179K01AY2,34.0204,31-Jan-2018
101431,HDFC Regular Savings Fund-Monthly Dividend Option,INF179K01AW6,10.3684,31-Jan-2018
101098,ICICI Prudential Child Care Plan Study - Cumulative,INF109K01597,69.4094,31-Jan-2018
120691,ICICI Prudential Child Care Plan Study - Direct Plan- Cumulative,INF109K01Y56,72.0855,31-Jan-2018
131621,ICICI Prudential Dynamic Bond Fund - Annual Dividend,INF109KA15C5,10.4992,31-Jan-2018
122613,ICICI Prudential Dynamic Bond Fund - Bonus,INF109KA1350,19.4224,31-Jan-2018
113055,ICICI Prudential Dynamic Bond Fund - Daily Dividend,INF109K01PJ8,9.9675,31-Jan-2018
120584,ICICI Prudential Dynamic Bond Fund - Direct Plan -  Daily Dividend,INF109K016K2,10.5427,31-Jan-2018
120582,ICICI Prudential Dynamic Bond Fund - Direct Plan -  Growth,INF109K017K0,20.0856,31-Jan-2018
120581,ICICI Prudential Dynamic Bond Fund - Direct Plan -  Half Yearly Dividend,INF109K018K8,10.0432,31-Jan-2018
120580,ICICI Prudential Dynamic Bond Fund - Direct Plan -  Monthly Dividend,INF109K010L3,10.3278,31-Jan-2018
131620,ICICI Prudential Dynamic Bond Fund - Direct Plan - Annual Dividend,INF109KA17C1,10.4400,31-Jan-2018
131199,ICICI Prudential Dynamic Bond Fund - Direct Plan - Bonus Option,INF109KA1343,19.8939,31-Jan-2018
120583,ICICI Prudential Dynamic Bond Fund - Direct Plan - Quarterly Dividend,INF109K012L9,10.3037,31-Jan-2018
111996,ICICI Prudential Dynamic Bond Fund - Growth,INF109K01CB3,19.4225,31-Jan-2018
112005,ICICI Prudential Dynamic Bond Fund - Half Yearly Dividend,INF109K01PK6,10.0954,31-Jan-2018
111997,ICICI Prudential Dynamic Bond Fund - Monthly Dividend,INF109K01FE0,10.8120,31-Jan-2018
112002,ICICI Prudential Dynamic Bond Fund - Premium Plus Growth,INF109K01RW7,20.3765,31-Jan-2018
111998,ICICI Prudential Dynamic Bond Fund - Quarterly Dividend,INF109K01FF7,10.2622,31-Jan-2018
121364,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - C - Cumulative,INF109K014Q4,14.7637,31-Jan-2018
121362,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - C - Direct Plan - Cumulative,INF109K016Q9,14.8128,31-Jan-2018
121441,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - D - Cumulative,INF109K018Q5,14.7286,31-Jan-2018
121440,ICICI Prudential Interval Fund - Series VI - Annual Interval Plan - D - Direct Plan - Cumulative,INF109K010R0,14.7673,31-Jan-2018
127238,ICICI Prudential Interval Fund - Series VII - Annual Interval Plan - C - Cumulative,INF109KA1NV1,13.6878,31-Jan-2018
127236,ICICI Prudential Interval Fund - Series VII - Annual Interval Plan - C - Direct Plan - Cumulative,INF109KA1NX7,13.7095,31-Jan-2018
120669,ICICI Prudential MIP - Direct Plan -  Dividend Half Yearly,INF109K01T79,13.5044,31-Jan-2018
120667,ICICI Prudential MIP - Direct Plan -  Dividend Monthly,INF109K01T95,12.8789,31-Jan-2018
120666,ICICI Prudential MIP - Direct Plan -  Dividend Quarterly,INF109K01U19,13.9525,31-Jan-2018
120668,ICICI Prudential MIP - Direct Plan -  Growth,INF109K01U35,48.9933,31-Jan-2018
130940,ICICI Prudential MIP - Direct Plan Bonus,INF109KA1H44,13.4998,31-Jan-2018
100955,ICICI Prudential MIP - Dividend Half Yearly,INF109K01FG5,12.6910,31-Jan-2018
100953,ICICI Prudential MIP - Dividend Monthly,INF109K01FH3,12.4705,31-Jan-2018
100954,ICICI Prudential MIP - Dividend Quarterly,INF109K01FI1,13.6047,31-Jan-2018
100952,ICICI Prudential MIP - Growth,INF109K01555,47.4695,31-Jan-2018
118381,IDFC Money Manager Fund - Investment Plan -Direct Plan-Daily Dividend,,10.1177,31-Jan-2018
118377,IDFC Money Manager Fund - Investment Plan -Direct Plan-Monthly Dividend,INF194K01M31,10.1392,31-Jan-2018
118380,IDFC Money Manager Fund - Investment Plan -Direct Plan-Periodic Dividend,INF194K01M64,11.5222,31-Jan-2018
118382,IDFC Money Manager Fund - Investment Plan -Direct Plan-Quarterly Dividend,INF194K01L65,10.6460,31-Jan-2018
118378,IDFC Money Manager Fund - Investment Plan -Direct Plan-Weekly Dividend,,10.2706,31-Jan-2018
118379,IDFC Money Manager Fund - Investment Plan-Direct Plan-Growth,INF194K01L16,26.8136,31-Jan-2018
108738,IDFC Money Manager Fund-Investment Plan-Regular Plan-Annual Div.,INF194K01NQ0,10.5857,31-Jan-2018
108742,IDFC Money Manager Fund-Investment Plan-Regular Plan-Daily Div.,INF194K01NW8,10.1564,31-Jan-2018
108736,IDFC Money Manager Fund-Investment Plan-Regular Plan-Growth,INF194K01NO5,26.5370,31-Jan-2018
108739,IDFC Money Manager Fund-Investment Plan-Regular Plan-Monthly Div.,INF194K01OC8,10.2448,31-Jan-2018
108737,IDFC Money Manager Fund-Investment Plan-Regular Plan-Qtrly Div.,INF194K01NT4,10.8653,31-Jan-2018
108740,IDFC Money Manager Fund-Investment Plan-Regular Plan-Weekly Div.,INF194K01NZ1,10.1929,31-Jan-2018
116669,IDFC-Money Manager Fund-Investment -Regular Plan-Periodic Div.,INF194K01XL0,12.9202,31-Jan-2018
120954,Reliance Yearly Interval Fund - Series 2 - Direct Plan - Dividend Plan - Dividend Option,INF204K01R83,10.6318,31-Jan-2018
120955,Reliance Yearly Interval Fund - Series 2 - Direct Plan - Growth Plan - Growth Option,INF204K01R75,15.0217,31-Jan-2018
120957,Reliance Yearly Interval Fund - Series 2 - Dividend Plan - Dividend Option,INF204K01R59,10.6220,31-Jan-2018
120956,Reliance Yearly Interval Fund - Series 2 - Growth Plan - Growth Option,INF204K01R42,14.9594,31-Jan-2018
138677,DHFL Pramerica FIXED MATURITY PLAN - SERIES 47 - DIRECT PLAN -GROWTH,INF223J01J00,13.8846,31-Jan-2018
138679,DHFL Pramerica FIXED MATURITY PLAN - SERIES 47 - REGULAR PLAN -GROWTH,INF223J01I68,13.7718,31-Jan-2018
100648,UTI - CRTS 81 - Dividend Option,,148.6328,31-Jan-2018
120787,UTI - CRTS 81 - Dividend Option- Direct,,152.813,31-Jan-2018
104588,UTI - CRTS 81 - Growth Option,,355.1176,31-Jan-2018
120788,UTI - CRTS 81 - Growth Option- Direct,,363.2332,31-Jan-2018
101608,UTI - MIS-Growth,INF789F01AA8,35.3305,31-Jan-2018
120776,UTI - MIS-Growth-Direct,INF789F01UV2,36.333,31-Jan-2018
101607,UTI - MIS-Income,INF789F01984,12.3451,31-Jan-2018
120775,UTI - MIS-Income-Direct,INF789F01UT6,12.7815,31-Jan-2018
112067,UTI Smart Woman Savings Plan - Dividend Option,,36.8927,31-Jan-2018
120774,UTI Smart Woman Savings Plan - Dividend Option- Direct,,37.8353,31-Jan-2018
112066,UTI Smart Woman Savings Plan - Growth Option,,36.8931,31-Jan-2018
120773,UTI Smart Woman Savings Plan - Growth Option- Direct,,37.8349,31-Jan-2018
119617,Aditya Birla Sun Life India Opportunities Fund - Dividend - Direct Plan,INF209K01P98,46.75,31-Jan-2018
100065,Aditya Birla Sun Life India Opportunities Fund - Dividend - Regular Plan,INF209K01280,33.89,31-Jan-2018
119618,Aditya Birla Sun Life India Opportunities Fund - Growth - Direct Plan,INF209K01VR7,168.64,31-Jan-2018
100066,Aditya Birla Sun Life India Opportunities Fund - Growth - Regular Plan,INF209K01298,163.21,31-Jan-2018
119537,Aditya Birla Sun Life India Reforms Fund - Dividend - Direct Plan,INF209K01ZA4,21.37,31-Jan-2018
119536,Aditya Birla Sun Life India Reforms Fund - Growth - Direct Plan,INF209K01YZ4,21.35,31-Jan-2018
112922,Aditya Birla Sun Life India Reforms Fund-DIVIDEND,INF209K01EL6,14.57,31-Jan-2018
112921,Aditya Birla Sun Life India Reforms Fund-GROWTH,INF209K01EK8,20.61,31-Jan-2018
107505,Aditya Birla Sun Life Special Situations Fund - Dividend,INF209K01553,18.4310,31-Jan-2018
119547,Aditya Birla Sun Life Special Situations Fund - Dividend - Direct Plan,INF209K01R05,24.6374,31-Jan-2018
107504,Aditya Birla Sun Life Special Situations Fund - Growth,INF209K01561,26.6614,31-Jan-2018
119546,Aditya Birla Sun Life Special Situations Fund - Growth - Direct Plan,INF209K01WW5,27.5187,31-Jan-2018
119064,HDFC Index Fund Sensex Plus Plan-Direct Plan,INF179K01WO7,492.5012,31-Jan-2018
101282,HDFC Index Fund-Sensex Plus( FV-Rs32.161),INF179K01LB7,485.2840,31-Jan-2018
118640,Reliance Focused Large Cap Fund - Direct Plan Dividend Plan,INF204K01XJ1,22.0431,31-Jan-2018
118641,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Bonus Option,INF204K01D48,32.6185,31-Jan-2018
118643,Reliance Focused Large Cap Fund - Direct Plan Growth Plan - Growth Option,INF204K01XL7,32.6185,31-Jan-2018
103749,Reliance Focused Large Cap Fund-Dividend Plan,INF204K01653,21.3771,31-Jan-2018
103748,Reliance Focused Large Cap Fund-Growth Plan-Bonus Option,INF204K01679,31.4812,31-Jan-2018
103747,Reliance Focused Large Cap Fund-Growth Plan-Growth Option,INF204K01687,31.4812,31-Jan-2018
120373,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH - Direct,INF515L01AJ6,69.0036,31-Jan-2018
109493,SAHARA BANKING & FINANCIAL SERVICES FUND- GROWTH OPTION,INF515L01494,65.9236,31-Jan-2018
120374,SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND - Direct,INF515L01AH0,23.6900,31-Jan-2018
109494,SAHARA BANKING & FINANCIAL SERVICES FUND-DIVIDEND OPTION,INF515L01478,23.3052,31-Jan-2018
101529,Sahara Growth Fund-Dividend,INF515L01155,43.1891,31-Jan-2018
120288,Sahara Growth Fund-Dividend- Direct,INF515L01759,43.8863,31-Jan-2018
101528,Sahara Growth Fund-Growth,INF515L01171,148.7337,31-Jan-2018
120289,Sahara Growth Fund-Growth- Direct,INF515L01775,162.8334,31-Jan-2018
120352,Sahara Infrastructure Fund ---FIXED PRICING -Direct-Dividend,INF515L01924,21.5445,31-Jan-2018
120353,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Direct-Growth,INF515L01940,30.7009,31-Jan-2018
103730,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Dividend Option,INF515L01320,21.2380,31-Jan-2018
103731,Sahara Infrastructure Fund ---FIXED PRICING OPTION-Growth Option,INF515L01346,29.0835,31-Jan-2018
120354,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Dividend,INF515L01957,24.7163,31-Jan-2018
120355,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Direct-Growth,INF515L01973,33.8250,31-Jan-2018
103732,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Dividend Option,INF515L01353,24.4319,31-Jan-2018
103733,Sahara Infrastructure Fund ---VARIABLE PRICING OPTION-Growth Option,INF515L01379,33.2121,31-Jan-2018
100798,Sahara Midcap Fund-Auto Payout,INF515L01247,87.8306,31-Jan-2018
120295,Sahara Midcap Fund-Auto Payout- Direct,INF515L01841,92.3924,31-Jan-2018
100799,Sahara Midcap Fund-Bonus,INF515L01254,87.8306,31-Jan-2018
120296,Sahara Midcap Fund-Bonus- Direct,INF515L01858,92.3924,31-Jan-2018
120298,Sahara Midcap Fund-Dividend -Direct,INF515L01817,39.2300,31-Jan-2018
100797,Sahara Midcap Fund-Dividend Plan,INF515L01213,38.7365,31-Jan-2018
120297,Sahara Midcap Fund-Growth Option - Direct,INF515L01833,92.3924,31-Jan-2018
100796,Sahara Midcap Fund-Growth Plan,INF515L01239,87.8306,31-Jan-2018
108320,Sahara Power & Natural Resources Fund - Dividend Option,INF515L01445,20.9048,31-Jan-2018
120371,Sahara Power & Natural resources Fund- Growth - Direct,INF515L01AG2,25.8899,31-Jan-2018
108321,Sahara Power & Natural resources Fund- Growth Option,INF515L01460,24.5097,31-Jan-2018
120370,Sahara Power & Natural Resources Fund-Dividend - Direct,INF515L01AE7,16.0357,31-Jan-2018
106744,Sahara R.E.A.L Fund - Dividend Option,INF515L01387,23.0575,31-Jan-2018
120360,Sahara R.E.A.L Fund - Dividend Option- Direct,INF515L01981,23.4257,31-Jan-2018
106745,Sahara R.E.A.L Fund - Growth  Fund,INF515L01403,23.0538,31-Jan-2018
120361,Sahara R.E.A.L Fund - Growth  Fund- Direct,INF515L01AA5,24.9337,31-Jan-2018
120387,Sahara Star Value Fund-Dividend - Direct,INF515L01AS7,20.7120,31-Jan-2018
112104,Sahara Star Value Fund-Dividend Option,INF515L01585,20.4209,31-Jan-2018
120386,Sahara Star Value Fund-Growth - Direct,INF515L01AU3,28.3128,31-Jan-2018
112105,Sahara Star Value Fund-Growth Option,INF515L01601,26.3690,31-Jan-2018
120383,Sahara Super 20 Fund - Dividend - Direct,INF515L01AP3,16.3573,31-Jan-2018
112036,Sahara Super 20 Fund - Dividend Option,INF515L01551,20.9623,31-Jan-2018
120382,Sahara Super 20 Fund - Growth - Direct,INF515L01AR9,22.3613,31-Jan-2018
112037,Sahara Super 20 Fund - Growth Option,INF515L01577,20.9827,31-Jan-2018
120341,Sahara Wealth Plus Fund-Fixed Pricing Option-Direct-Dividend Option,INF515L01866,35.1181,31-Jan-2018
120340,Sahara Wealth Plus Fund-Fixed Pricing Option-Direct-Growth,INF515L01882,49.4305,31-Jan-2018
103119,Sahara Wealth Plus Fund-Fixed Pricing Option-Dividend Option,INF515L01262,34.6267,31-Jan-2018
103120,Sahara Wealth Plus Fund-Fixed Pricing Option-Growth Option,INF515L01288,48.6195,31-Jan-2018
120344,Sahara Wealth Plus Fund-Variable Pricing Option-Direct -Dividend,INF515L01890,40.9493,31-Jan-2018
120345,Sahara Wealth Plus Fund-Variable Pricing Option-Direct-Growth,INF515L01916,56.9260,31-Jan-2018
103121,Sahara Wealth Plus Fund-Variable Pricing Option-Dividend Option,INF515L01296,40.4425,31-Jan-2018
103122,Sahara Wealth Plus Fund-Variable Pricing Option-Growth Option,INF515L01312,55.7828,31-Jan-2018
120756,UTI Bluechip Flexicap Fund - Direct Plan - Dividend Option,INF789F01TV4,27.075,31-Jan-2018
120757,UTI Bluechip Flexicap Fund - Direct Plan - Growth Option,INF789F01TX0,34.4397,31-Jan-2018
103455,UTI Bluechip Flexicap Fund - Regular Plan - Dividend Option,INF789F01760,26.5838,31-Jan-2018
103457,UTI Bluechip Flexicap Fund - Regular Plan - Growth option,INF789F01786,33.8687,31-Jan-2018
131161,UTI Multi Cap Fund - Dividend Option,INF789FA1XV4,14.4612,31-Jan-2018
131162,UTI Multi Cap Fund - Dividend Option - Direct,INF789FA1XS0,14.7032,31-Jan-2018
131163,UTI Multi Cap Fund - Growth Option,INF789FA1XX0,14.4613,31-Jan-2018
131164,UTI Multi Cap Fund - Growth Option - Direct,INF789FA1XU6,14.7032,31-Jan-2018
100121,HDFC Balanced Fund - Dividend Option,INF179K01376,32.7120,31-Jan-2018
100122,HDFC Balanced Fund - Growth Option,INF179K01392,153.4390,31-Jan-2018
118932,HDFC Balanced Fund -Direct Plan - Dividend Option,INF179K01UX2,35.9350,31-Jan-2018
118933,HDFC Balanced Fund -Direct Plan - Growth Option,INF179K01UZ7,160.4100,31-Jan-2018
101978,HDFC Prudence Fund - Dividend Option,INF179K01AT2,32.9290,31-Jan-2018
101977,HDFC Prudence Fund - Growth Option,INF179K01AV8,531.8710,31-Jan-2018
118990,HDFC Prudence Fund -Direct Plan - Dividend Option,INF179K01YA2,38.8420,31-Jan-2018
118991,HDFC Prudence Fund -Direct Plan - Growth Option,INF179K01YC8,553.9030,31-Jan-2018
101397,Sahara Liquid Fund-Fixed Pricing -  Weekly Dividend Option,,1027.4373,31-Jan-2018
101393,Sahara Liquid Fund-Fixed Pricing - Daily Dividend Option,,1199.3778,31-Jan-2018
120265,Sahara Liquid Fund-Fixed Pricing - Direct - Weekly Dividend Option,,1027.4373,31-Jan-2018
120262,Sahara Liquid Fund-Fixed Pricing - Direct -Growth option,INF515L01650,2937.8251,31-Jan-2018
101394,Sahara Liquid Fund-Fixed Pricing - Growth option,INF515L01056,2935.0110,31-Jan-2018
101398,Sahara Liquid Fund-Fixed Pricing - Monthly Dividend Option,,1043.3721,31-Jan-2018
120253,Sahara Liquid Fund-Fixed Pricing -Direct - Daily Dividend Option- Direct,,1199.3778,31-Jan-2018
120266,Sahara Liquid Fund-Fixed Pricing -Direct - Monthly Dividend Option,,1043.3721,31-Jan-2018
101399,Sahara Liquid Fund-Variable Pricing - Daily Dividend option,,1207.6986,31-Jan-2018
101402,Sahara Liquid Fund-Variable Pricing - Growth option,INF515L01114,2995.3684,31-Jan-2018
101400,Sahara Liquid Fund-Variable Pricing - Weekly Dividend Option,,1215.6800,31-Jan-2018
120271,Sahara Liquid Fund-Variable Pricing -Direct - Daily Dividend option,,1038.8267,31-Jan-2018
120280,Sahara Liquid Fund-Variable Pricing -Direct - Growth option,INF515L01718,3000.6886,31-Jan-2018
120272,Sahara Liquid Fund-Variable Pricing -Direct - Weekly Dividend Option,,1215.6800,31-Jan-2018
120273,Sahara Liquid Fund-Variable Pricing- Direct - Monthly Dividend Option,,1055.8972,31-Jan-2018
101401,Sahara Liquid Fund-Variable Pricing- Monthly Dividend Option,,1228.9496,31-Jan-2018
139619,Taurus Investor Education Pool - Unclaimed Dividend - Growth,,10.0000,31-Jan-2018
139618,Taurus Investor Education Pool - Unclaimed Redemption - Growth,,10.0000,31-Jan-2018
139616,Taurus Unclaimed Dividend - Growth,,12.0292,31-Jan-2018
139617,Taurus Unclaimed Redemption - Growth,,12.0292,31-Jan-2018
122393,BNP Paribas Government Securities Fund - Annual dividend option,INF251K01JB8,10.6215,31-Jan-2018
122291,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,INF251K01JC6,9.9912,31-Jan-2018
122376,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,INF251K01JK9,10.7418,31-Jan-2018
122374,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,INF251K01JG7,15.5554,31-Jan-2018
122400,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,INF251K01JH5,10.3111,31-Jan-2018
122289,BNP Paribas Government Securities Fund - Growth Option,INF251K01JF9,15.0247,31-Jan-2018
122293,BNP Paribas Government Securities Fund - Half yearly dividend option,INF251K01JD4,9.9517,31-Jan-2018
122290,BNP Paribas Government Securities Fund -Monthly dividend option,INF251K01JE2,9.9528,31-Jan-2018
119113,HDFC Gilt Fund Short Term Plan -Direct Plan - Dividend Option,INF179K01VU6,11.3459,31-Jan-2018
119114,HDFC Gilt Fund Short Term Plan -Direct Plan - Growth Option,INF179K01VV4,28.5548,31-Jan-2018
101081,HDFC Gilt Fund-Short Term-Dividend,INF179K01780,11.1513,31-Jan-2018
101082,HDFC Gilt Fund-Short Term-Growth,INF179K01806,28.1592,31-Jan-2018
120606,ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan - Half Yearly Dividend,INF109K019C3,10.7227,31-Jan-2018
120605,ICICI Prudential Gilt Fund Investment Plan PF Option - Direct Plan -Growth Option,INF109K011D8,34.8719,31-Jan-2018
102060,ICICI Prudential Gilt Fund Investment Plan PF Option - Growth,INF109K01JS2,34.3594,31-Jan-2018
118019,ICICI Prudential Gilt Fund Investment Plan PF Option - Half Yearly Dividend,INF109K01I15,11.0638,31-Jan-2018
130901,ICICI Prudential Gilt Investment PF Option - Bonus,INF109KA1C31,13.8150,31-Jan-2018
130954,ICICI Prudential Gilt Investment PF Option - Direct Plan Bonus,INF109KA1C23,14.2354,31-Jan-2018
120612,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan - Half Yearly Dividend,INF109K017D5,11.5232,31-Jan-2018
120610,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan - Quarterly Dividend,INF109K019D1,13.2717,31-Jan-2018
120611,ICICI Prudential Gilt Fund Treasury Plan PF Option - Direct Plan -Growth Option,INF109K011E6,25.7220,31-Jan-2018
102248,ICICI Prudential Gilt Fund Treasury Plan PF Option - Growth,INF109K01KA8,25.1508,31-Jan-2018
118023,ICICI Prudential Gilt Fund Treasury Plan PF Option - Half Yearly Dividend,INF109K01I56,11.0354,31-Jan-2018
118022,ICICI Prudential Gilt Fund Treasury Plan PF Option - Quarterly Dividend,INF109K01I49,13.0994,31-Jan-2018
130905,ICICI Prudential Gilt Treasury PF Option - Bonus,INF109KA1C56,13.0675,31-Jan-2018
118764,IDFC  Government Securities Fund - Provident Fund -Direct Plan-Annual Dividend,INF194K01O88,12.6023,31-Jan-2018
118766,IDFC  Government Securities Fund - Provident Fund -Direct Plan-Growth,INF194K01O62,30.3319,31-Jan-2018
118765,IDFC  Government Securities Fund - Provident Fund -Direct Plan-Quarterly Dividend,INF194K01P12,12.2081,31-Jan-2018
131392,IDFC GSF -PF -Direct Plan_Periodic Dividend,INF194KA1SF9,13.5105,31-Jan-2018
131393,IDFC GSF -PF -Regular Plan_Periodic Dividend,INF194KA1SC6,13.8036,31-Jan-2018
108663,IDFC GSF-Provident Fund-Regular Plan-Annual Dividend,INF194K01EO4,11.3459,31-Jan-2018
108661,IDFC GSF-Provident Fund-Regular Plan-Growth,INF194K01EM8,29.5418,31-Jan-2018
108662,IDFC GSF-Provident Fund-Regular Plan-Quarterly Dividend,INF194K01ER7,11.8213,31-Jan-2018
131741,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Bonus Option,INF084M01BX0,75.50,31-Jan-2018
131740,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Dividend Option,INF084M01BV4,34.82,31-Jan-2018
131739,Aditya Birla Sun Life Tax Savings Fund - Direct Plan - Growth Option,INF084M01BU6,75.28,31-Jan-2018
131738,Aditya Birla Sun Life Tax Savings Fund - Regular Plan - Bonus Option,INF084M01333,73.28,31-Jan-2018
131737,Aditya Birla Sun Life Tax Savings Fund - Regular Plan - Dividend Option,INF084M01317,33.97,31-Jan-2018
131736,Aditya Birla Sun Life Tax Savings Fund - Regular Plan - Growth Option,INF084M01309,73.18,31-Jan-2018
112537,L&T Tax Saver Fund- Regular Plan - Dividend,INF917K01262,33.92,31-Jan-2018
112538,L&T Tax Saver Fund-Regular Plan - Growth,INF917K01288,39.56,31-Jan-2018
100337,SaharaTax Gain-Dividend,INF515L01189,18.6676,31-Jan-2018
120290,SaharaTax Gain-Dividend- Direct,INF515L01783,18.9625,31-Jan-2018
100338,SaharaTax Gain-Growth,INF515L01205,79.7000,31-Jan-2018
120291,SaharaTax Gain-Growth- direct,INF515L01809,82.6664,31-Jan-2018
134209,HDFC Floating Rate Income Fund - Direct Plan - Normal Dividend Option,INF179KA16J1,12.2846,31-Jan-2018
134210,HDFC Floating Rate Income Fund - Regular Plan - Normal Dividend Option,INF179KA17J9,12.3633,31-Jan-2018
119112,HDFC Floating Rate Income Fund Long -Direct Plan - Growth Option,INF179K01VN1,30.0978,31-Jan-2018
119111,HDFC Floating Rate Income Fund Long -Direct Plan - Weekly Dividend Option,,10.5292,31-Jan-2018
101671,HDFC Floating Rate Income Fund-Long Term Plan-GROWTH,INF179K01624,30.0180,31-Jan-2018
101670,HDFC Floating Rate Income Fund-Long Term Plan-Weekly Dividend Option,,10.1956,31-Jan-2018
102020,BARODA MULTI CAP FUND - Plan A - Growth Option,INF955L01674,103.39,31-Jan-2018
102021,BARODA MULTI CAP FUND - Plan A - IDCW Option,INF955L01658,39.51,31-Jan-2018
119354,BARODA MULTI CAP FUND - Plan B (Direct) - Growth Option,INF955L01AG0,108.13,31-Jan-2018
119353,BARODA MULTI CAP FUND - Plan B (Direct) - IDCW Option,INF955L01AE5,39.22,31-Jan-2018
119988,BNP Paribas MULTI CAP Fund - Direct Plan - Growth Option,INF251K01HK3,53.8920,31-Jan-2018
119987,BNP Paribas MULTI CAP Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option,INF251K01HI7,19.9740,31-Jan-2018
113460,BNP PARIBAS MULTI CAP Fund-Growth Option,INF251K01951,50.1110,31-Jan-2018
113461,BNP PARIBAS MULTI CAP Fund-Income Distribution cum Capital Withdrawal Option,INF251K01977,18.2940,31-Jan-2018
120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth,INF109K011N7,108.87,31-Jan-2018
120380,ICICI Prudential MidCap Fund - Direct Plan -  IDCW,INF109K019M2,33.74,31-Jan-2018
